pred1,pred2,r.sq,Predictor1,Predictor2
1,2,0.00207334801750038,PDist,DBH
1,3,0.0891989076748579,PDist,PctSky
1,4,0.000100167378322177,PDist,Clumping
1,5,0.0129725014633472,PDist,FloralOutput
1,6,0.0500595928990228,PDist,open.mn
1,7,0.0240923969129114,PDist,open.var
1,8,0.0870122468669719,PDist,cornus.mn
1,9,0.0718516496403723,PDist,cornus.var
1,10,0.00833909320098846,PDist,roads.mn
1,11,0.00780211566080159,PDist,roads.var
1,12,0.00695777987560895,PDist,pines.mn
1,13,0.00766888934908156,PDist,pines.var
1,14,0.0183190492433527,PDist,decid.mn
1,15,0.00120043198480668,PDist,decid.var
2,3,0.0629019768246668,DBH,PctSky
2,4,9.35351511769871e-05,DBH,Clumping
2,5,0.0975601748465342,DBH,FloralOutput
2,6,3.9436516198006e-05,DBH,open.mn
2,7,0.00352297537973773,DBH,open.var
2,8,0.00267346938803247,DBH,cornus.mn
2,9,0.00118876948152117,DBH,cornus.var
2,10,0.00175579626464269,DBH,roads.mn
2,11,0.00132827489755907,DBH,roads.var
2,12,0.00379282605580707,DBH,pines.mn
2,13,0.0012986164823053,DBH,pines.var
2,14,0.00539286098299324,DBH,decid.mn
2,15,0.00204963054720561,DBH,decid.var
3,4,0.108001880665117,PctSky,Clumping
3,5,0.163520751584912,PctSky,FloralOutput
3,6,0.068044141410994,PctSky,open.mn
3,7,0.0676189567926404,PctSky,open.var
3,8,0.000121020195738188,PctSky,cornus.mn
3,9,0.00171717550621447,PctSky,cornus.var
3,10,0.010012393441116,PctSky,roads.mn
3,11,0.0105484323512247,PctSky,roads.var
3,12,0.00136372893100719,PctSky,pines.mn
3,13,0.00421221694512755,PctSky,pines.var
3,14,0.0493243892311551,PctSky,decid.mn
3,15,0.0521507706133928,PctSky,decid.var
4,5,0.0686927903038982,Clumping,FloralOutput
4,6,0.0171534889947379,Clumping,open.mn
4,7,0.0274976153394197,Clumping,open.var
4,8,0.000556761607252381,Clumping,cornus.mn
4,9,0.00148460565566859,Clumping,cornus.var
4,10,0.00805959776602583,Clumping,roads.mn
4,11,0.00745873779112019,Clumping,roads.var
4,12,1.63102818010249e-05,Clumping,pines.mn
4,13,0.000989302006440468,Clumping,pines.var
4,14,0.0188302786310769,Clumping,decid.mn
4,15,0.0220265424673061,Clumping,decid.var
5,6,3.98243382916912e-05,FloralOutput,open.mn
5,7,0.000573613840355587,FloralOutput,open.var
5,8,1.94627267526904e-06,FloralOutput,cornus.mn
5,9,0.000913945892487985,FloralOutput,cornus.var
5,10,1.30929933678873e-05,FloralOutput,roads.mn
5,11,1.0337708228954e-06,FloralOutput,roads.var
5,12,0.0141068573288266,FloralOutput,pines.mn
5,13,0.00409851811028168,FloralOutput,pines.var
5,14,0.0178301605209578,FloralOutput,decid.mn
5,15,0.00802917311784712,FloralOutput,decid.var
6,7,0.842234185722331,open.mn,open.var
6,8,0.0116059749983718,open.mn,cornus.mn
6,9,0.000226618015799945,open.mn,cornus.var
6,10,0.141871054880714,open.mn,roads.mn
6,11,0.143422816915154,open.mn,roads.var
6,12,0.298173579811222,open.mn,pines.mn
6,13,0.284359736027773,open.mn,pines.var
6,14,0.176832518476327,open.mn,decid.mn
6,15,0.183049930915471,open.mn,decid.var
7,8,0.0143640340188929,open.var,cornus.mn
7,9,0.0114706371747859,open.var,cornus.var
7,10,0.198475406333616,open.var,roads.mn
7,11,0.206091043788556,open.var,roads.var
7,12,0.241095149720478,open.var,pines.mn
7,13,0.272353881520788,open.var,pines.var
7,14,0.156925035794863,open.var,decid.mn
7,15,0.284858259195412,open.var,decid.var
8,9,0.647060506561788,cornus.mn,cornus.var
8,10,0.138497786943095,cornus.mn,roads.mn
8,11,0.151710083541069,cornus.mn,roads.var
8,12,0.0294446258276335,cornus.mn,pines.mn
8,13,0.063949866727646,cornus.mn,pines.var
8,14,0.00640925360727534,cornus.mn,decid.mn
8,15,0.00331648689002246,cornus.mn,decid.var
9,10,0.204355035624457,cornus.var,roads.mn
9,11,0.224191970800945,cornus.var,roads.var
9,12,0.00706735052574792,cornus.var,pines.mn
9,13,0.031125509468068,cornus.var,pines.var
9,14,0.0126734713418766,cornus.var,decid.mn
9,15,0.00906937948206898,cornus.var,decid.var
10,11,0.993750522535461,roads.mn,roads.var
10,12,0.382315864204358,roads.mn,pines.mn
10,13,0.381327268948836,roads.mn,pines.var
10,14,0.0835600525818804,roads.mn,decid.mn
10,15,0.00151569599115679,roads.mn,decid.var
11,12,0.39949060048863,roads.var,pines.mn
11,13,0.403566807098714,roads.var,pines.var
11,14,0.0911783969468713,roads.var,decid.mn
11,15,0.00157364088576364,roads.var,decid.var
12,13,0.894544961746158,pines.mn,pines.var
12,14,0.281062034238546,pines.mn,decid.mn
12,15,0.0861911687828638,pines.mn,decid.var
13,14,0.235623992466009,pines.var,decid.mn
13,15,0.0896383928025656,pines.var,decid.var
14,15,0.552697600946616,decid.mn,decid.var
